,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0101.a3.txt,1970.88,1086.23,739.08,447.93,1,0,2
1,0102.a3.txt,1820.28,1094.47,541.47,368.66,2,0,0
2,0103.a3.txt,2011.49,876.44,1034.48,574.71,7,0,2
3,0104.a3.txt,1647.8,1094.34,616.35,528.3,2,0,0
4,0105.a3.txt,1673.0,1292.78,633.71,785.8,2,0,2
5,0106.a3.txt,2196.32,944.79,748.47,588.96,2,0,0
6,0107.a3.txt,2234.71,1023.72,848.94,474.41,4,0,0
7,0109.a3.txt,1906.57,1250.0,441.92,404.04,2,0,0
8,0110.a3.txt,2019.83,1239.16,669.14,495.66,2,0,1
9,0111.a3.txt,1929.13,1154.86,524.93,393.7,3,0,1
10,0112.a3.txt,2053.99,1044.6,715.96,633.8,1,0,0
11,0115.a3.txt,2215.03,1165.8,660.62,699.48,0,0,0
12,0118.a3.txt,2525.85,1093.06,871.49,339.73,0,0,1
13,0119.a3.txt,2109.09,1090.91,739.39,460.61,1,0,1
14,0120.a3.txt,2099.29,992.91,921.99,539.01,0,0,0
15,0121.a3.txt,1865.28,997.41,466.32,556.99,2,0,0
16,0122.a3.txt,2357.23,1081.41,668.29,449.57,0,0,1
17,0125.a3.txt,2089.0,914.71,1013.6,469.72,3,0,2
18,0127.a3.txt,1858.53,984.74,735.09,527.05,8,0,1
19,0128.a3.txt,1978.75,1128.82,504.65,637.45,3,0,2
20,0130.a3.txt,1554.29,971.43,685.71,708.57,2,0,0
21,0131.a3.txt,2155.39,1052.63,701.75,701.75,0,0,0
22,0133.a3.txt,1810.78,976.6,528.99,640.9,5,0,2
23,0134.a3.txt,2081.34,968.9,992.82,586.12,0,0,0
24,0135.a3.txt,1994.95,1111.11,656.57,416.67,1,0,0
25,0136.a3.txt,2011.56,1213.87,624.28,439.31,0,0,0
26,0137.a3.txt,2019.7,911.33,788.18,665.02,0,0,0
27,0138.a3.txt,2049.78,1259.15,629.58,351.39,0,0,0
28,0139.a3.txt,1994.82,1321.24,647.67,336.79,0,0,0
29,0142.a3.txt,2153.56,1142.32,992.51,299.63,0,0,0
30,0143.a3.txt,2211.87,931.32,593.71,395.81,5,0,0
31,0146.a3.txt,1575.09,1416.36,610.5,525.03,3,0,0
32,0149.a3.txt,2123.64,1156.36,574.55,632.73,0,0,0
33,0155.a3.txt,1843.82,1041.21,759.22,455.53,2,0,1
34,0156.a3.txt,1972.7,1153.85,570.72,409.43,2,0,0
35,0157.a3.txt,1442.31,1189.9,588.94,552.88,0,0,0
36,0158.a3.txt,1776.58,1184.39,753.7,484.52,2,0,0
37,0159.a3.txt,2153.11,1088.52,526.32,598.09,1,0,5
38,0161.a3.txt,2130.1,943.88,829.08,484.69,0,0,0
39,0162.a3.txt,2383.94,878.29,715.18,414.05,0,0,0
40,0163.a3.txt,1747.13,977.01,689.66,609.2,0,0,2
41,0165.a3.txt,1729.07,1200.44,605.73,462.56,4,0,1
42,0168.a3.txt,1683.94,1204.66,673.58,479.27,1,0,2
43,0169.a3.txt,2166.67,1035.71,619.05,440.48,2,0,4
44,0171.a3.txt,1789.92,1286.17,621.65,546.62,2,0,0
45,0172.a3.txt,2072.18,1071.01,768.34,430.73,1,0,0
46,0173.a3.txt,2138.89,1194.44,541.67,513.89,1,0,1
47,0174.a3.txt,1944.83,1075.86,1131.03,441.38,1,0,1
48,0175.a3.txt,1909.55,1168.34,552.76,376.88,2,0,0
49,0176.a3.txt,2124.85,1056.42,492.2,408.16,4,0,0
50,0177.a3.txt,1839.21,1013.22,682.82,682.82,4,0,0
51,0178.a3.txt,2119.62,1017.84,807.97,629.59,0,0,2
52,0179.a3.txt,2252.36,1155.66,577.83,400.94,2,0,2
53,0182.a3.txt,2083.82,1117.58,640.28,593.71,0,0,2
54,0185.a3.txt,1941.31,1072.23,598.19,474.04,2,0,2
55,0186.a3.txt,1894.6,1016.31,790.46,727.73,2,0,0
56,0187.a3.txt,1685.25,1003.72,867.41,470.88,7,0,1
57,0188.a3.txt,1718.95,1191.97,740.28,539.52,1,0,0
