,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,doc,1862.91,584.52,576.11,256.52,27,2,39
1,doc,1337.79,836.12,752.51,384.62,8,0,7
2,doc,1405.21,786.92,638.73,265.71,13,5,11
3,doc,1543.97,782.21,674.85,434.56,15,5,16
4,doc,1449.93,756.68,525.6,353.42,28,2,18
5,doc,1566.47,947.98,739.88,826.59,7,0,9
6,doc,1935.67,871.35,783.63,374.27,12,1,7
7,doc,2640.4,687.34,662.2,276.61,4,0,6
8,doc,1734.96,657.63,611.37,257.77,27,4,23
9,doc,1587.5,775.0,856.25,325.0,14,1,17
10,doc,1734.03,808.34,860.5,436.77,6,1,6
11,doc,1562.04,845.28,845.28,281.76,19,1,16
12,doc,1529.93,709.53,798.23,421.29,3,0,0
13,doc,1581.96,823.19,680.03,429.49,8,3,8
14,doc,1589.3,726.38,731.84,234.84,11,3,30
15,doc,1762.48,909.67,814.91,682.25,4,0,3
16,doc,1744.47,708.44,790.34,552.83,21,9,15
17,doc,1669.32,564.39,802.86,290.14,9,2,16
18,doc,1256.38,701.53,765.31,433.67,11,0,7
19,doc,1799.94,936.32,645.54,369.29,19,3,17
20,doc,1682.49,912.45,954.64,427.22,8,0,7
21,doc,1523.78,713.45,637.11,399.3,17,3,15
22,doc,2049.87,686.53,897.02,320.6,12,2,22
23,doc,1603.68,828.49,901.16,518.41,13,2,6
24,doc,1562.28,719.94,583.15,295.18,14,3,7
25,doc,1627.57,718.48,887.1,439.88,9,3,6
26,doc,1565.01,882.83,778.49,433.39,9,0,11
27,doc,1551.08,871.6,613.87,313.96,20,3,14
28,doc,1205.42,808.13,474.04,302.48,25,1,20
29,doc,1637.06,849.74,633.7,379.26,13,4,23
30,doc,1684.13,898.47,713.13,346.49,8,3,18
31,doc,1600.9,798.21,968.61,524.66,15,0,11
32,doc,1799.25,763.48,667.38,459.16,12,3,6
33,doc,1714.95,1037.08,654.69,307.07,9,0,16
34,doc,1404.61,1111.11,607.97,403.56,10,0,15
