,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,doc,1742.7,1066.12,830.34,363.92,13,0,1
1,doc,1396.54,1018.58,557.34,493.27,11,0,1
2,doc,1704.38,961.81,657.71,396.04,10,0,0
3,doc,1686.3,991.94,688.16,520.77,7,0,1
4,doc,1765.93,810.25,747.92,408.59,15,1,10
5,doc,1551.61,1025.97,791.64,512.98,9,0,2
6,doc,1518.11,1121.17,529.25,417.83,9,0,2
7,doc,1749.84,1017.06,581.17,290.59,12,1,4
8,doc,1368.48,1226.3,657.58,586.49,12,2,2
9,doc,1566.95,974.36,786.32,450.14,9,0,1
10,doc,1753.39,1083.39,705.63,335.0,13,0,2
11,doc,1220.3,1162.49,404.62,430.31,16,0,4
12,doc,1504.97,1237.59,397.25,328.5,13,0,1
13,doc,1500.62,1201.31,479.7,422.3,14,0,4
14,doc,1369.65,1128.4,490.27,326.85,6,0,2
15,doc,1303.36,1331.82,461.01,381.33,9,0,6
16,doc,975.86,1222.33,523.14,503.02,11,1,4
17,doc,1513.11,951.31,741.57,434.46,10,0,3
18,doc,1295.55,1384.62,526.32,364.37,7,0,2
19,doc,1467.53,1006.49,701.3,525.97,7,0,2
20,doc,1691.42,816.83,783.83,280.53,9,0,2
