,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0107.b6.txt,1744.63,1201.01,859.67,404.55,1,0,1
1,0137.b6.txt,1743.73,1241.74,898.28,528.4,1,0,1
2,0151.b6.txt,1513.65,1315.14,657.57,558.31,3,0,0
3,0157.b6.txt,1215.85,1379.78,683.06,628.42,2,0,0
4,0158.b6.txt,1520.0,1245.71,742.86,651.43,2,0,0
5,0178.b6.txt,1748.69,1109.95,879.58,554.97,1,0,2
6,0185.b6.txt,1605.11,1292.61,724.43,411.93,2,0,0
7,0198.b6.txt,1539.57,1179.86,719.42,446.04,3,0,0
8,0219.b6.txt,1692.09,1303.74,527.05,360.61,1,0,0
9,0223.b6.txt,1701.6,1196.05,665.84,628.85,3,0,0
10,0238.b6.txt,1383.15,1399.05,794.91,413.35,3,0,0
11,0318.b6.txt,1750.97,972.76,846.3,447.47,5,0,2
