,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0106.b7.txt,1758.69,1247.44,828.22,511.25,0,1,0
1,0107.b7.txt,1640.62,1071.43,1026.79,535.71,0,1,6
2,0137.b7.txt,2102.67,957.55,809.48,345.51,4,1,2
3,0151.b7.txt,1927.41,1063.83,901.13,438.05,2,0,2
4,0157.b7.txt,1270.4,1212.12,874.13,582.75,5,1,1
5,0158.b7.txt,1821.35,1218.1,730.86,487.24,1,1,0
6,0178.b7.txt,1971.27,1013.57,941.74,710.3,4,0,3
7,0185.b7.txt,1810.87,1146.88,814.89,613.68,1,0,0
8,0186.b7.txt,1709.91,1084.91,731.13,636.79,0,0,1
9,0198.b7.txt,2017.01,1069.26,801.94,498.18,0,0,2
10,0219.b7.txt,2087.05,993.3,1004.46,580.36,1,1,0
11,0223.b7.txt,1986.68,1032.19,854.61,443.95,0,0,1
12,0224.b7.txt,2092.39,1019.02,937.5,326.09,1,1,1
13,0238.b7.txt,1684.32,1175.85,709.75,550.85,1,0,3
14,0318.b7.txt,2068.06,903.14,811.52,510.47,1,0,0
